applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,property_area
LP001002,Male,No,0,Graduate,No,5849,0.0,Urban
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,Rural
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,Urban
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,Urban
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,Urban
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,Urban
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,Semiurban
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,Urban
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,Semiurban
LP001024,Male,Yes,2,Graduate,No,3200,700.0,Urban
LP001027,Male,Yes,2,Graduate,,2500,1840.0,Urban
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,Urban
LP001029,Male,No,0,Graduate,No,1853,2840.0,Rural
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,Urban
LP001034,Male,No,1,Not Graduate,No,3596,0.0,Urban
LP001036,Female,No,0,Graduate,No,3510,0.0,Urban
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,Rural
LP001041,Male,Yes,0,Graduate,,2600,3500.0,Urban
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,Urban
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,Urban
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,Semiurban
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,Rural
LP001052,Male,Yes,1,Graduate,,3717,2925.0,Semiurban
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,Semiurban
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,Semiurban
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,Urban
LP001086,Male,No,0,Not Graduate,No,1442,0.0,Urban
LP001087,Female,No,2,Graduate,,3750,2083.0,Semiurban
LP001091,Male,Yes,1,Graduate,,4166,3369.0,Urban
LP001097,Male,No,1,Graduate,Yes,4692,0.0,Rural
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,Semiurban
LP001100,Male,No,3+,Graduate,No,12500,3000.0,Rural
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,Urban
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,Urban
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,Semiurban
LP001114,Male,No,0,Graduate,No,4166,7210.0,Urban
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,Semiurban
LP001120,Male,No,0,Graduate,No,1800,1213.0,Urban
LP001123,Male,Yes,0,Graduate,No,2400,0.0,Urban
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,Semiurban
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,Urban
LP001138,Male,Yes,1,Graduate,No,5649,0.0,Urban
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,Urban
LP001151,Female,No,0,Graduate,No,4000,2275.0,Semiurban
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,Semiurban
LP001157,Female,No,0,Graduate,No,3086,0.0,Semiurban
LP001179,Male,Yes,2,Graduate,No,4616,0.0,Urban
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,Urban
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,Semiurban
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,Semiurban
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,Rural
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,Urban
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,Urban
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,Urban
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,Urban
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,Rural
LP001213,Male,Yes,1,Graduate,No,4945,0.0,Rural
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,Semiurban
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,Urban
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,Urban
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,Urban
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,Semiurban
LP001248,Male,No,0,Graduate,No,3500,0.0,Semiurban
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,Semiurban
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,Semiurban
LP001256,Male,No,0,Graduate,No,3750,4750.0,Urban
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,Urban
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,Semiurban
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,Semiurban
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,Semiurban
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,Urban
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,Semiurban
LP001279,Male,No,0,Graduate,No,2366,2531.0,Semiurban
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,Semiurban
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,Semiurban
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,Semiurban
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,Semiurban
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,Semiurban
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,Urban
LP001325,Male,No,0,Not Graduate,No,3620,0.0,Semiurban
LP001326,Male,No,0,Graduate,,6782,0.0,Urban
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,Semiurban
LP001333,Male,Yes,0,Graduate,No,1977,997.0,Semiurban
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,Semiurban
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,Semiurban
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,Urban
LP001349,Male,No,0,Graduate,No,4843,3806.0,Semiurban
LP001350,Male,Yes,,Graduate,No,13650,0.0,Urban
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,Semiurban
LP001357,Male,,,Graduate,No,3816,754.0,Urban
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,Urban
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,Urban
LP001370,Male,No,0,Not Graduate,,7333,0.0,Rural
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,Urban
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,Semiurban
LP001387,Female,Yes,0,Graduate,,2929,2333.0,Semiurban
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,Rural
LP001392,Female,No,1,Graduate,Yes,7451,0.0,Semiurban
LP001398,Male,No,0,Graduate,,5050,0.0,Semiurban
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,Semiurban
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,Urban
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,Rural
LP001426,Male,Yes,,Graduate,No,5667,2667.0,Rural
LP001431,Female,No,0,Graduate,No,2137,8980.0,Semiurban
LP001432,Male,Yes,2,Graduate,No,2957,0.0,Semiurban
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,Rural
LP001443,Female,No,0,Graduate,No,3692,0.0,Rural
LP001448,,Yes,3+,Graduate,No,23803,0.0,Rural
LP001449,Male,No,0,Graduate,No,3865,1640.0,Rural
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,Urban
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,Rural
LP001469,Male,No,0,Graduate,Yes,20166,0.0,Urban
LP001473,Male,No,0,Graduate,No,2014,1929.0,Urban
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,Semiurban
LP001489,Female,Yes,0,Graduate,No,4583,0.0,Rural
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,Urban
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,Rural
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,Rural
LP001504,Male,No,0,Graduate,Yes,6950,0.0,Semiurban
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,Semiurban
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,Semiurban
LP001516,Female,Yes,2,Graduate,No,14866,0.0,Urban
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,Urban
LP001519,Female,No,0,Graduate,No,10000,1666.0,Rural
LP001520,Male,Yes,0,Graduate,No,4860,830.0,Semiurban
LP001528,Male,No,0,Graduate,No,6277,0.0,Rural
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,Rural
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,Rural
LP001536,Male,Yes,3+,Graduate,No,39999,0.0,Semiurban
LP001546,Male,No,0,Graduate,,2980,2083.0,Rural
