applicant_id,loan_amount,loan_amount_term,credit_history,loan_status
LP001002,,360.0,1.0,Y
LP001003,128.0,360.0,1.0,N
LP001005,66.0,360.0,1.0,Y
LP001006,120.0,360.0,1.0,Y
LP001008,141.0,360.0,1.0,Y
LP001011,267.0,360.0,1.0,Y
LP001013,95.0,360.0,1.0,Y
LP001014,158.0,360.0,0.0,N
LP001018,168.0,360.0,1.0,Y
LP001020,349.0,360.0,1.0,N
LP001024,70.0,360.0,1.0,Y
LP001027,109.0,360.0,1.0,Y
LP001028,200.0,360.0,1.0,Y
LP001029,114.0,360.0,1.0,N
LP001030,17.0,120.0,1.0,Y
LP001032,125.0,360.0,1.0,Y
LP001034,100.0,240.0,,Y
LP001036,76.0,360.0,0.0,N
LP001038,133.0,360.0,1.0,N
LP001041,115.0,,1.0,Y
LP001043,104.0,360.0,0.0,N
LP001046,315.0,360.0,1.0,Y
LP001047,116.0,360.0,0.0,N
LP001050,112.0,360.0,0.0,N
LP001052,151.0,360.0,,N
LP001066,191.0,360.0,1.0,Y
LP001068,122.0,360.0,1.0,Y
LP001073,110.0,360.0,1.0,Y
LP001086,35.0,360.0,1.0,N
LP001087,120.0,360.0,1.0,Y
LP001091,201.0,360.0,,N
LP001095,74.0,360.0,1.0,N
LP001097,106.0,360.0,1.0,N
LP001098,114.0,360.0,1.0,Y
LP001100,320.0,360.0,1.0,N
LP001106,,360.0,1.0,Y
LP001109,100.0,,0.0,N
LP001112,144.0,360.0,1.0,Y
LP001114,184.0,360.0,1.0,Y
LP001116,110.0,360.0,1.0,Y
LP001119,80.0,360.0,1.0,N
LP001120,47.0,360.0,1.0,Y
LP001123,75.0,360.0,,Y
LP001131,134.0,360.0,1.0,Y
LP001136,96.0,,1.0,Y
LP001137,88.0,,1.0,Y
LP001138,44.0,360.0,1.0,Y
LP001144,144.0,360.0,1.0,Y
LP001146,120.0,360.0,0.0,N
LP001151,144.0,360.0,1.0,Y
LP001155,100.0,360.0,1.0,Y
LP001157,120.0,360.0,1.0,Y
LP001164,112.0,360.0,1.0,N
LP001179,134.0,360.0,1.0,N
LP001186,286.0,360.0,0.0,N
LP001194,97.0,360.0,1.0,Y
LP001195,96.0,360.0,1.0,Y
LP001197,135.0,360.0,1.0,N
LP001198,180.0,360.0,1.0,Y
LP001199,144.0,360.0,1.0,Y
LP001205,120.0,360.0,1.0,Y
